Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C04,RT,NA,9/9/04,2004,9,1,1,68,NA,0,NA,NA,NA,R234,NA,2004,2004,C04,0,9666,LIdri,LIdri_RT,1
C04,RT,9666,9/6/05,2005,9,1,1,159,42.8,1,NA,1,NA,NA,NA,2004,2004,C04,1,9666,LIdri,LIdri_RT,1
C04,RT,9666,6/20/06,2006,6,1,1,214,104.9,2,NA,NA,NA,NA,NA,2004,2004,C04,2,9666,LIdri,LIdri_RT,1
C04,RT,9669,6/10/05,2005,6,1,1,146,30.9,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9669,LIdri,LIdri_RT,1
C04,RT,NA,9/9/04,2004,9,1,1,81,NA,0,NA,NA,NA,R256,NA,2004,2004,C04,0,9671,LIdri,LIdri_RT,1
C04,RT,9671,6/10/05,2005,6,1,1,132,24.3,1,NA,1,NA,NA,NA,2004,2004,C04,1,9671,LIdri,LIdri_RT,1
C04,RT,NA,9/9/04,2004,9,1,1,82,NA,0,NA,NA,NA,R246,NA,2004,2004,C04,0,9676,LIdri,LIdri_RT,1
C04,RT,9676,6/10/05,2005,6,1,1,136,25.2,1,NA,1,NA,NA,NA,2004,2004,C04,1,9676,LIdri,LIdri_RT,1
C04,RT,9677,6/10/05,2005,6,1,1,124,19.8,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9677,LIdri,LIdri_RT,1
C04,RT,NA,9/9/04,2004,9,1,1,81,NA,0,NA,NA,NA,R286,NA,2004,2004,C04,0,9680,LIdri,LIdri_RT,1
C04,RT,9680,6/10/05,2005,6,1,1,152,37.1,1,NA,1,NA,NA,NA,2004,2004,C04,1,9680,LIdri,LIdri_RT,1
C03,RT,9683,6/10/05,2005,6,1,1,237,155.2,2,NA,NA,NA,NA,NA,2003,2003,C03,2,9683,LIdri,LIdri_RT,1
C03,RT,9683,9/6/05,2005,9,1,1,247,158.5,2,NA,NA,NA,NA,NA,2003,2003,C03,2,9683,LIdri,LIdri_RT,1
C04,RT,9694,6/10/05,2005,6,1,1,149,35.3,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9694,LIdri,LIdri_RT,1
C04,RT,9703,6/10/05,2005,6,1,1,152,37.9,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9703,LIdri,LIdri_RT,1
C04,RT,9705,6/10/05,2005,6,1,1,130,22.2,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9705,LIdri,LIdri_RT,1
